file_name,mem_usage_mb,peak_mem_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
1784.pnml,116.14,20.82,14.06,15.82,18.93,20.82,21474.93
1785.pnml,116.16,20.84,14.07,15.83,18.94,20.84,22027.01
1786.pnml,116.16,20.85,14.08,15.84,18.95,20.85,21521.26
1787.pnml,116.24,20.86,14.09,15.85,18.96,20.86,21778.30
1788.pnml,116.27,20.87,14.09,15.86,18.97,20.87,22166.92
1789.pnml,116.28,20.88,14.10,15.87,18.98,20.88,21321.70
178.pnml,29.45,2.07,1.42,1.59,1.91,2.07,269.83
1790.pnml,116.39,20.89,14.11,15.87,19.00,20.89,21825.77
1791.pnml,116.43,20.90,14.12,15.88,19.01,20.90,21851.96
1792.pnml,116.68,20.91,14.12,15.89,19.02,20.91,21916.05
1793.pnml,116.68,20.92,14.13,15.90,19.03,20.92,21955.66
1794.pnml,116.64,20.93,14.14,15.91,19.04,20.93,21855.60
1795.pnml,116.80,20.94,14.15,15.92,19.05,20.94,21806.21
1796.pnml,116.76,20.95,14.16,15.92,19.06,20.95,22061.68
1797.pnml,116.84,20.96,14.16,15.93,19.07,20.96,21917.99
1798.pnml,116.88,20.97,14.17,15.94,19.08,20.97,21865.71
1799.pnml,116.90,20.99,14.18,15.95,19.09,20.99,22584.24
179.pnml,29.39,2.08,1.42,1.60,1.92,2.08,281.18
17.pnml,20.75,0.24,0.15,0.17,0.20,0.22,8.83
1800.pnml,116.94,21.00,14.19,15.96,19.10,21.00,21861.80
1801.pnml,117.08,21.01,14.19,15.97,19.11,21.01,22612.25
1802.pnml,117.10,21.02,14.20,15.98,19.12,21.02,23661.34
1803.pnml,117.12,21.03,14.21,15.98,19.13,21.03,23425.48
1804.pnml,117.18,21.04,14.22,15.99,19.14,21.04,23719.26
1805.pnml,117.33,21.05,14.22,16.00,19.15,21.05,23834.02
1806.pnml,117.30,21.06,14.23,16.01,19.16,21.06,22770.13
1807.pnml,117.36,21.07,14.24,16.02,19.17,21.07,22399.89
1808.pnml,117.19,21.08,14.25,16.03,19.18,21.08,26813.19
1809.pnml,117.45,21.09,14.25,16.04,19.19,21.09,22236.77
180.pnml,29.56,2.09,1.43,1.61,1.93,2.09,276.69
1810.pnml,117.52,21.10,14.26,16.04,19.20,21.10,22415.89
1811.pnml,117.56,21.11,14.27,16.05,19.21,21.11,22406.72
1812.pnml,117.67,21.13,14.28,16.06,19.22,21.13,22266.14
1813.pnml,117.73,21.14,14.28,16.07,19.23,21.14,22042.90
1814.pnml,117.65,21.15,14.29,16.08,19.24,21.15,22676.36
1815.pnml,117.64,21.16,14.30,16.09,19.25,21.16,22365.30
