file_name,mem_usage_mb,time_ms
T1a_augmented_test_583.pnml,32.45,804.44
T1a_augmented_test_584.pnml,32.45,803.82
T1a_augmented_test_585.pnml,32.32,798.99
T1a_augmented_test_586.pnml,32.57,803.66
T1a_augmented_test_587.pnml,32.45,857.82
T1a_augmented_test_588.pnml,32.57,870.41
T1a_augmented_test_589.pnml,32.57,861.92
T1a_augmented_test_58.pnml,19.70,9.88
T1a_augmented_test_590.pnml,32.57,827.72
T1a_augmented_test_591.pnml,32.45,829.04
T1a_augmented_test_592.pnml,32.70,848.81
T1a_augmented_test_593.pnml,32.70,877.79
T1a_augmented_test_594.pnml,32.70,884.40
T1a_augmented_test_595.pnml,32.70,870.64
T1a_augmented_test_596.pnml,32.44,889.82
T1a_augmented_test_597.pnml,32.70,905.46
T1a_augmented_test_598.pnml,32.82,875.84
T1a_augmented_test_599.pnml,32.82,859.24
T1a_augmented_test_59.pnml,19.57,12.65
T1a_augmented_test_5.pnml,19.20,0.27
T1a_augmented_test_600.pnml,32.82,843.72
T1a_augmented_test_601.pnml,32.82,900.28
T1a_augmented_test_602.pnml,32.82,869.63
T1a_augmented_test_603.pnml,32.82,846.83
T1a_augmented_test_604.pnml,32.82,871.07
T1a_augmented_test_605.pnml,32.95,917.29
T1a_augmented_test_606.pnml,32.95,835.90
T1a_augmented_test_607.pnml,32.95,977.39
T1a_augmented_test_608.pnml,32.95,853.83
T1a_augmented_test_609.pnml,33.07,836.29
T1a_augmented_test_60.pnml,19.71,10.29
T1a_augmented_test_610.pnml,33.07,853.35
T1a_augmented_test_611.pnml,33.07,854.79
T1a_augmented_test_612.pnml,32.97,953.16
T1a_augmented_test_613.pnml,33.07,930.99
T1a_augmented_test_614.pnml,33.20,889.29
T1a_augmented_test_615.pnml,33.00,961.97
T1a_augmented_test_616.pnml,33.20,892.55
T1a_augmented_test_617.pnml,33.20,897.64
T1a_augmented_test_618.pnml,33.19,912.57
T1a_augmented_test_619.pnml,33.45,923.55
T1a_augmented_test_61.pnml,19.71,14.90
T1a_augmented_test_620.pnml,33.20,901.24
T1a_augmented_test_621.pnml,33.20,956.67
