filename,transitions,places,nodes
222.pnml,1562,1340,3570
489.pnml,3431,2942,7842
367.pnml,2577,2210,5890
177.pnml,1247,1070,2850
246.pnml,1730,1484,3954
742.pnml,5202,4460,11890
70.pnml,498,428,1138
872.pnml,6112,5240,13970
817.pnml,5727,4910,13090
152.pnml,1072,920,2450
981.pnml,6875,5894,15714
697.pnml,4887,4190,11170
755.pnml,5293,4538,12098
112.pnml,792,680,1810
827.pnml,5797,4970,13250
860.pnml,6028,5168,13778
225.pnml,1583,1358,3618
183.pnml,1289,1106,2946
277.pnml,1947,1670,4450
572.pnml,4012,3440,9170
476.pnml,3340,2864,7634
638.pnml,4474,3836,10226
946.pnml,6630,5684,15154
959.pnml,6721,5762,15362
110.pnml,778,668,1778
505.pnml,3543,3038,8098
469.pnml,3291,2822,7522
299.pnml,2101,1802,4802
738.pnml,5174,4436,11826
922.pnml,6462,5540,14770
596.pnml,4180,3584,9554
923.pnml,6469,5546,14786
546.pnml,3830,3284,8754
668.pnml,4684,4016,10706
523.pnml,3669,3146,8386
26.pnml,190,164,434
442.pnml,3102,2660,7090
608.pnml,4264,3656,9746
306.pnml,2150,1844,4914
590.pnml,4138,3548,9458
31.pnml,225,194,514
2.pnml,22,20,50
496.pnml,3480,2984,7954
680.pnml,4768,4088,10898
786.pnml,5510,4724,12594
539.pnml,3781,3242,8642
468.pnml,3284,2816,7506
356.pnml,2500,2144,5714
408.pnml,2864,2456,6546
710.pnml,4978,4268,11378
178.pnml,1254,1076,2866
609.pnml,4271,3662,9762
862.pnml,6042,5180,13810
637.pnml,4467,3830,10210
873.pnml,6119,5246,13986
614.pnml,4306,3692,9842
705.pnml,4943,4238,11298
436.pnml,3060,2624,6994
559.pnml,3921,3362,8962
530.pnml,3718,3188,8498
94.pnml,666,572,1522
128.pnml,904,776,2066
513.pnml,3599,3086,8226
237.pnml,1667,1430,3810
622.pnml,4362,3740,9970
731.pnml,5125,4394,11714
224.pnml,1576,1352,3602
724.pnml,5076,4352,11602
659.pnml,4621,3962,10562
440.pnml,3088,2648,7058
249.pnml,1751,1502,4002
743.pnml,5209,4466,11906
207.pnml,1457,1250,3330
50.pnml,358,308,818
329.pnml,2311,1982,5282
769.pnml,5391,4622,12322
126.pnml,890,764,2034
772.pnml,5412,4640,12370
528.pnml,3704,3176,8466
670.pnml,4698,4028,10738
644.pnml,4516,3872,10322
251.pnml,1765,1514,4034
718.pnml,5034,4316,11506
658.pnml,4614,3956,10546
389.pnml,2731,2342,6242
975.pnml,6833,5858,15618
689.pnml,4831,4142,11042
887.pnml,6217,5330,14210
57.pnml,407,350,930
804.pnml,5636,4832,12882
802.pnml,5622,4820,12850
166.pnml,1170,1004,2674
687.pnml,4817,4130,11010
815.pnml,5713,4898,13058
272.pnml,1912,1640,4370
146.pnml,1030,884,2354
317.pnml,2227,1910,5090
882.pnml,6182,5300,14130
675.pnml,4733,4058,10818
189.pnml,1331,1142,3042
402.pnml,2822,2420,6450
833.pnml,5839,5006,13346
730.pnml,5118,4388,11698
509.pnml,3571,3062,8162
454.pnml,3186,2732,7282
603.pnml,4229,3626,9666
145.pnml,1023,878,2338
816.pnml,5720,4904,13074
544.pnml,3816,3272,8722
7.pnml,57,50,130
756.pnml,5300,4544,12114
101.pnml,715,614,1634
525.pnml,3683,3158,8418
327.pnml,2297,1970,5250
63.pnml,449,386,1026
939.pnml,6581,5642,15042
841.pnml,5895,5054,13474
963.pnml,6749,5786,15426
388.pnml,2724,2336,6226
857.pnml,6007,5150,13730
818.pnml,5734,4916,13106
754.pnml,5286,4532,12082
33.pnml,239,206,546
206.pnml,1450,1244,3314
233.pnml,1639,1406,3746
785.pnml,5503,4718,12578
500.pnml,3508,3008,8018
197.pnml,1387,1190,3170
995.pnml,6973,5978,15938
677.pnml,4747,4070,10850
706.pnml,4950,4244,11314
703.pnml,4929,4226,11266
99.pnml,701,602,1602
270.pnml,1898,1628,4338
884.pnml,6196,5312,14162
78.pnml,554,476,1266
425.pnml,2983,2558,6818
656.pnml,4600,3944,10514
4.pnml,36,32,82
400.pnml,2808,2408,6418
825.pnml,5783,4958,13218
280.pnml,1968,1688,4498
174.pnml,1226,1052,2802
410.pnml,2878,2468,6578
617.pnml,4327,3710,9890
188.pnml,1324,1136,3026
646.pnml,4530,3884,10354
671.pnml,4705,4034,10754
170.pnml,1198,1028,2738
213.pnml,1499,1286,3426
365.pnml,2563,2198,5858
562.pnml,3942,3380,9010
896.pnml,6280,5384,14354
808.pnml,5664,4856,12946
553.pnml,3879,3326,8866
295.pnml,2073,1778,4738
778.pnml,5454,4676,12466
549.pnml,3851,3302,8802
361.pnml,2535,2174,5794
122.pnml,862,740,1970
437.pnml,3067,2630,7010
990.pnml,6938,5948,15858
846.pnml,5930,5084,13554
427.pnml,2997,2570,6850
168.pnml,1184,1016,2706
952.pnml,6672,5720,15250
273.pnml,1919,1646,4386
456.pnml,3200,2744,7314
893.pnml,6259,5366,14306
355.pnml,2493,2138,5698
9.pnml,71,62,162
15.pnml,113,98,258
445.pnml,3123,2678,7138
672.pnml,4712,4040,10770
719.pnml,5041,4322,11522
627.pnml,4397,3770,10050
913.pnml,6399,5486,14626
799.pnml,5601,4802,12802
942.pnml,6602,5660,15090
533.pnml,3739,3206,8546
621.pnml,4355,3734,9954
156.pnml,1100,944,2514
461.pnml,3235,2774,7394
444.pnml,3116,2672,7122
863.pnml,6049,5186,13826
611.pnml,4285,3674,9794
14.pnml,106,92,242
685.pnml,4803,4118,10978
607.pnml,4257,3650,9730
379.pnml,2661,2282,6082
403.pnml,2829,2426,6466
735.pnml,5153,4418,11778
516.pnml,3620,3104,8274
943.pnml,6609,5666,15106
507.pnml,3557,3050,8130
961.pnml,6735,5774,15394
673.pnml,4719,4046,10786
413.pnml,2899,2486,6626
910.pnml,6378,5468,14578
81.pnml,575,494,1314
733.pnml,5139,4406,11746
288.pnml,2024,1736,4626
283.pnml,1989,1706,4546
506.pnml,3550,3044,8114
459.pnml,3221,2762,7362
511.pnml,3585,3074,8194
155.pnml,1093,938,2498
133.pnml,939,806,2146
568.pnml,3984,3416,9106
781.pnml,5475,4694,12514
488.pnml,3424,2936,7826
261.pnml,1835,1574,4194
877.pnml,6147,5270,14050
67.pnml,477,410,1090
252.pnml,1772,1520,4050
113.pnml,799,686,1826
605.pnml,4243,3638,9698
732.pnml,5132,4400,11730
227.pnml,1597,1370,3650
535.pnml,3753,3218,8578
378.pnml,2654,2276,6066
584.pnml,4096,3512,9362
599.pnml,4201,3602,9602
415.pnml,2913,2498,6658
185.pnml,1303,1118,2978
585.pnml,4103,3518,9378
527.pnml,3697,3170,8450
836.pnml,5860,5024,13394
354.pnml,2486,2132,5682
34.pnml,246,212,562
970.pnml,6798,5828,15538
390.pnml,2738,2348,6258
326.pnml,2290,1964,5234
471.pnml,3305,2834,7554
552.pnml,3872,3320,8850
907.pnml,6357,5450,14530
770.pnml,5398,4628,12338
866.pnml,6070,5204,13874
771.pnml,5405,4634,12354
692.pnml,4852,4160,11090
589.pnml,4131,3542,9442
368.pnml,2584,2216,5906
740.pnml,5188,4448,11858
35.pnml,253,218,578
49.pnml,351,302,802
855.pnml,5993,5138,13698
292.pnml,2052,1760,4690
919.pnml,6441,5522,14722
160.pnml,1128,968,2578
753.pnml,5279,4526,12066
231.pnml,1625,1394,3714
452.pnml,3172,2720,7250
992.pnml,6952,5960,15890
479.pnml,3361,2882,7682
51.pnml,365,314,834
470.pnml,3298,2828,7538
297.pnml,2087,1790,4770
519.pnml,3641,3122,8322
752.pnml,5272,4520,12050
577.pnml,4047,3470,9250
264.pnml,1856,1592,4242
843.pnml,5909,5066,13506
822.pnml,5762,4940,13170
750.pnml,5258,4508,12018
526.pnml,3690,3164,8434
864.pnml,6056,5192,13842
392.pnml,2752,2360,6290
890.pnml,6238,5348,14258
532.pnml,3732,3200,8530
717.pnml,5027,4310,11490
397.pnml,2787,2390,6370
381.pnml,2675,2294,6114
398.pnml,2794,2396,6386
420.pnml,2948,2528,6738
578.pnml,4054,3476,9266
331.pnml,2325,1994,5314
136.pnml,960,824,2194
960.pnml,6728,5768,15378
114.pnml,806,692,1842
24.pnml,176,152,402
28.pnml,204,176,466
674.pnml,4726,4052,10802
583.pnml,4089,3506,9346
921.pnml,6455,5534,14754
537.pnml,3767,3230,8610
517.pnml,3627,3110,8290
141.pnml,995,854,2274
930.pnml,6518,5588,14898
948.pnml,6644,5696,15186
216.pnml,1520,1304,3474
357.pnml,2507,2150,5730
345.pnml,2423,2078,5538
649.pnml,4551,3902,10402
695.pnml,4873,4178,11138
409.pnml,2871,2462,6562
362.pnml,2542,2180,5810
850.pnml,5958,5108,13618
830.pnml,5818,4988,13298
319.pnml,2241,1922,5122
117.pnml,827,710,1890
634.pnml,4446,3812,10162
696.pnml,4880,4184,11154
701.pnml,4915,4214,11234
399.pnml,2801,2402,6402
679.pnml,4761,4082,10882
62.pnml,442,380,1010
312.pnml,2192,1880,5010
699.pnml,4901,4202,11202
895.pnml,6273,5378,14338
125.pnml,883,758,2018
432.pnml,3032,2600,6930
325.pnml,2283,1958,5218
406.pnml,2850,2444,6514
809.pnml,5671,4862,12962
118.pnml,834,716,1906
567.pnml,3977,3410,9090
744.pnml,5216,4472,11922
253.pnml,1779,1526,4066
359.pnml,2521,2162,5762
493.pnml,3459,2966,7906
693.pnml,4859,4166,11106
142.pnml,1002,860,2290
138.pnml,974,836,2226
832.pnml,5832,5000,13330
898.pnml,6294,5396,14386
414.pnml,2906,2492,6642
912.pnml,6392,5480,14610
844.pnml,5916,5072,13522
951.pnml,6665,5714,15234
880.pnml,6168,5288,14098
276.pnml,1940,1664,4434
464.pnml,3256,2792,7442
967.pnml,6777,5810,15490
545.pnml,3823,3278,8738
950.pnml,6658,5708,15218
423.pnml,2969,2546,6786
193.pnml,1359,1166,3106
438.pnml,3074,2636,7026
80.pnml,568,488,1298
364.pnml,2556,2192,5842
947.pnml,6637,5690,15170
394.pnml,2766,2372,6322
998.pnml,6994,5996,15986
899.pnml,6301,5402,14402
11.pnml,85,74,194
38.pnml,274,236,626
232.pnml,1632,1400,3730
76.pnml,540,464,1234
725.pnml,5083,4358,11618
77.pnml,547,470,1250
190.pnml,1338,1148,3058
320.pnml,2248,1928,5138
212.pnml,1492,1280,3410
554.pnml,3886,3332,8882
474.pnml,3326,2852,7602
757.pnml,5307,4550,12130
619.pnml,4341,3722,9922
163.pnml,1149,986,2626
75.pnml,533,458,1218
124.pnml,876,752,2002
338.pnml,2374,2036,5426
564.pnml,3956,3392,9042
936.pnml,6560,5624,14994
941.pnml,6595,5654,15074
968.pnml,6784,5816,15506
550.pnml,3858,3308,8818
985.pnml,6903,5918,15778
477.pnml,3347,2870,7650
91.pnml,645,554,1474
889.pnml,6231,5342,14242
835.pnml,5853,5018,13378
401.pnml,2815,2414,6434
978.pnml,6854,5876,15666
88.pnml,624,536,1426
346.pnml,2430,2084,5554
521.pnml,3655,3134,8354
666.pnml,4670,4004,10674
918.pnml,6434,5516,14706
971.pnml,6805,5834,15554
957.pnml,6707,5750,15330
631.pnml,4425,3794,10114
581.pnml,4075,3494,9314
678.pnml,4754,4076,10866
927.pnml,6497,5570,14850
72.pnml,512,440,1170
606.pnml,4250,3644,9714
55.pnml,393,338,898
144.pnml,1016,872,2322
807.pnml,5657,4850,12930
777.pnml,5447,4670,12450
983.pnml,6889,5906,15746
441.pnml,3095,2654,7074
