file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
437.pnml,44.59,6.30,3.31,,,,,182.95
438.pnml,44.64,6.32,3.32,,,,,181.60
439.pnml,44.68,6.33,3.33,,,,,191.85
43.pnml,22.36,0.64,0.34,,,,,22.26
440.pnml,44.53,6.34,3.33,,,,,183.95
441.pnml,44.77,6.36,3.34,,,,,185.08
442.pnml,44.82,6.37,3.35,,,,,194.56
443.pnml,44.87,6.38,3.36,,,,,187.56
444.pnml,44.93,6.40,3.36,,,,,209.28
445.pnml,45.06,6.41,3.37,,,,,180.37
446.pnml,45.01,6.42,3.38,,,,,190.34
447.pnml,45.18,6.44,3.39,,,,,182.46
448.pnml,45.22,6.45,3.39,,,,,185.70
449.pnml,45.08,6.46,3.40,,,,,191.82
44.pnml,22.36,0.65,0.35,,,,,23.39
450.pnml,45.32,6.48,3.41,,,,,187.46
451.pnml,45.35,6.49,3.42,,,,,195.44
452.pnml,45.40,6.50,3.42,,,,,189.01
453.pnml,45.45,6.52,3.43,,,,,189.96
454.pnml,45.49,6.63,3.44,,,,,198.60
455.pnml,45.45,6.64,3.45,,,,,181.39
456.pnml,45.59,6.66,3.45,,,,,194.22
457.pnml,45.60,6.67,3.46,,,,,201.04
458.pnml,45.50,6.69,3.47,,,,,191.06
459.pnml,45.72,6.70,3.47,,,,,188.33
45.pnml,22.48,0.66,0.35,,,,,25.70
460.pnml,46.02,6.71,3.48,,,,,195.21
461.pnml,45.95,6.73,3.49,,,,,203.77
462.pnml,45.99,6.74,3.50,,,,,205.58
463.pnml,46.04,6.76,3.51,,,,,193.71
464.pnml,46.09,6.77,3.52,,,,,198.49
465.pnml,46.11,6.79,3.52,,,,,203.53
466.pnml,46.05,6.81,3.54,,,,,194.72
467.pnml,46.29,6.82,3.54,,,,,193.01
468.pnml,46.32,6.83,3.55,,,,,194.76
469.pnml,46.36,6.85,3.56,,,,,205.62
46.pnml,22.36,0.68,0.36,,,,,23.42
470.pnml,46.41,6.86,3.56,,,,,192.94
471.pnml,46.57,6.87,3.57,,,,,197.64
472.pnml,46.62,6.89,3.58,,,,,201.39
473.pnml,46.65,6.90,3.59,,,,,212.27
474.pnml,46.65,6.91,3.59,,,,,204.10
475.pnml,46.74,6.93,3.60,,,,,203.12
476.pnml,46.77,6.94,3.61,,,,,208.72
477.pnml,46.82,6.95,3.62,,,,,197.49
478.pnml,46.81,6.97,3.62,,,,,208.11
479.pnml,46.91,6.98,3.63,,,,,206.26
47.pnml,22.61,0.69,0.37,,,,,26.84
480.pnml,46.96,6.99,3.64,,,,,204.99
481.pnml,47.00,7.01,3.65,,,,,209.30
482.pnml,47.05,7.02,3.65,,,,,202.40
483.pnml,47.22,7.03,3.66,,,,,217.89
484.pnml,47.01,7.05,3.67,,,,,208.16
485.pnml,47.31,7.06,3.68,,,,,206.10
486.pnml,47.35,7.07,3.68,,,,,200.86
487.pnml,47.34,7.09,3.69,,,,,198.93
488.pnml,47.32,7.10,3.70,,,,,204.85
489.pnml,47.50,7.11,3.71,,,,,213.89
48.pnml,22.61,0.71,0.38,,,,,24.21
490.pnml,47.54,7.13,3.71,,,,,212.48
491.pnml,47.57,7.14,3.72,,,,,212.26
492.pnml,47.45,7.15,3.73,,,,,208.54
493.pnml,47.50,7.17,3.74,,,,,213.05
494.pnml,47.66,7.18,3.74,,,,,204.53
495.pnml,49.86,7.19,3.75,,,,,210.99
496.pnml,49.89,7.21,3.76,,,,,213.79
497.pnml,50.00,7.22,3.76,,,,,202.71
498.pnml,49.95,7.23,3.77,,,,,211.20
499.pnml,50.11,7.25,3.78,,,,,207.35
49.pnml,22.61,0.72,0.38,,,,,24.23
4.pnml,19.98,0.10,0.04,,,,,2.46
500.pnml,50.15,7.26,3.79,,,,,200.77
501.pnml,50.30,7.27,3.79,,,,,206.04
502.pnml,50.20,7.29,3.80,,,,,209.98
503.pnml,50.36,7.30,3.81,,,,,215.68
504.pnml,50.27,7.31,3.82,,,,,224.71
505.pnml,50.42,7.33,3.82,,,,,223.93
506.pnml,50.41,7.34,3.83,,,,,205.38
507.pnml,50.29,7.35,3.84,,,,,219.61
508.pnml,50.64,7.37,3.85,,,,,235.56
509.pnml,50.33,7.38,3.85,,,,,209.93
50.pnml,22.73,0.76,0.39,,,,,26.32
510.pnml,50.71,7.39,3.86,,,,,211.22
511.pnml,50.75,7.41,3.87,,,,,207.14
512.pnml,50.78,7.42,3.87,,,,,218.72
