file_name,mem_usage_mb,time_ms
T1a_augmented_test_48.pnml,20.18,2.34
T1a_augmented_test_490.pnml,29.68,27.45
T1a_augmented_test_491.pnml,29.68,29.04
T1a_augmented_test_492.pnml,29.81,25.59
T1a_augmented_test_493.pnml,29.69,26.41
T1a_augmented_test_494.pnml,29.80,25.56
T1a_augmented_test_495.pnml,29.70,26.86
T1a_augmented_test_496.pnml,29.94,26.53
T1a_augmented_test_497.pnml,29.93,26.29
T1a_augmented_test_498.pnml,29.94,25.57
T1a_augmented_test_499.pnml,29.94,26.89
T1a_augmented_test_49.pnml,20.31,2.64
T1a_augmented_test_4.pnml,19.18,0.56
T1a_augmented_test_500.pnml,29.81,26.93
T1a_augmented_test_501.pnml,30.06,28.17
T1a_augmented_test_502.pnml,30.06,27.54
T1a_augmented_test_503.pnml,30.06,26.80
T1a_augmented_test_504.pnml,30.06,27.88
T1a_augmented_test_505.pnml,30.06,26.01
T1a_augmented_test_506.pnml,30.06,26.22
T1a_augmented_test_507.pnml,30.19,25.23
T1a_augmented_test_508.pnml,30.19,27.74
T1a_augmented_test_509.pnml,30.06,26.44
T1a_augmented_test_50.pnml,20.31,2.48
T1a_augmented_test_510.pnml,30.18,26.43
T1a_augmented_test_511.pnml,30.06,28.91
T1a_augmented_test_512.pnml,30.18,26.52
T1a_augmented_test_513.pnml,30.31,26.16
T1a_augmented_test_514.pnml,30.31,27.13
T1a_augmented_test_515.pnml,30.19,27.07
T1a_augmented_test_516.pnml,30.19,26.46
T1a_augmented_test_517.pnml,30.31,30.52
T1a_augmented_test_518.pnml,30.44,29.39
T1a_augmented_test_519.pnml,30.44,30.34
T1a_augmented_test_51.pnml,20.31,2.44
T1a_augmented_test_520.pnml,30.43,26.88
T1a_augmented_test_521.pnml,30.44,26.14
T1a_augmented_test_522.pnml,30.44,29.87
T1a_augmented_test_523.pnml,30.31,29.79
T1a_augmented_test_524.pnml,30.56,28.78
T1a_augmented_test_525.pnml,30.43,28.20
T1a_augmented_test_526.pnml,30.44,26.79
T1a_augmented_test_527.pnml,30.56,27.08
T1a_augmented_test_528.pnml,30.56,28.07
T1a_augmented_test_529.pnml,30.56,31.00
T1a_augmented_test_52.pnml,20.31,2.37
T1a_augmented_test_530.pnml,30.55,29.12
T1a_augmented_test_531.pnml,30.50,27.16
T1a_augmented_test_532.pnml,30.56,26.96
T1a_augmented_test_533.pnml,30.56,26.77
T1a_augmented_test_534.pnml,30.68,28.86
T1a_augmented_test_535.pnml,30.68,29.84
T1a_augmented_test_536.pnml,30.68,28.64
T1a_augmented_test_537.pnml,30.81,28.42
T1a_augmented_test_538.pnml,30.68,30.46
T1a_augmented_test_539.pnml,30.81,29.48
T1a_augmented_test_53.pnml,20.31,2.46
T1a_augmented_test_540.pnml,30.69,28.92
T1a_augmented_test_541.pnml,30.80,29.67
T1a_augmented_test_542.pnml,30.75,30.84
T1a_augmented_test_543.pnml,30.81,27.98
T1a_augmented_test_544.pnml,30.93,27.89
T1a_augmented_test_545.pnml,30.93,30.97
T1a_augmented_test_546.pnml,30.80,29.34
T1a_augmented_test_547.pnml,30.93,28.58
T1a_augmented_test_548.pnml,31.06,30.64
T1a_augmented_test_549.pnml,31.06,29.40
T1a_augmented_test_54.pnml,20.43,2.54
T1a_augmented_test_550.pnml,31.06,27.49
T1a_augmented_test_551.pnml,31.06,27.84
T1a_augmented_test_552.pnml,31.06,31.14
T1a_augmented_test_553.pnml,31.19,29.10
T1a_augmented_test_554.pnml,31.18,31.05
T1a_augmented_test_555.pnml,31.18,29.31
T1a_augmented_test_556.pnml,31.18,30.92
T1a_augmented_test_557.pnml,31.06,29.81
T1a_augmented_test_558.pnml,31.06,31.33
T1a_augmented_test_559.pnml,31.12,30.34
T1a_augmented_test_55.pnml,20.43,2.63
T1a_augmented_test_560.pnml,31.19,31.91
T1a_augmented_test_561.pnml,31.31,29.31
T1a_augmented_test_562.pnml,31.31,31.73
T1a_augmented_test_563.pnml,31.31,29.27
T1a_augmented_test_564.pnml,31.19,31.55
T1a_augmented_test_565.pnml,31.43,29.19
T1a_augmented_test_566.pnml,31.44,41.37
T1a_augmented_test_567.pnml,31.44,32.08
T1a_augmented_test_568.pnml,31.44,29.41
T1a_augmented_test_569.pnml,31.31,30.74
T1a_augmented_test_56.pnml,20.31,2.63
T1a_augmented_test_570.pnml,31.56,28.99
T1a_augmented_test_571.pnml,31.56,32.32
T1a_augmented_test_572.pnml,31.44,29.23
T1a_augmented_test_573.pnml,31.56,31.55
T1a_augmented_test_574.pnml,31.56,30.16
T1a_augmented_test_575.pnml,31.43,30.78
T1a_augmented_test_576.pnml,31.56,32.20
T1a_augmented_test_577.pnml,31.56,32.48
T1a_augmented_test_578.pnml,31.69,28.83
T1a_augmented_test_579.pnml,31.56,32.36
T1a_augmented_test_57.pnml,20.43,2.65
T1a_augmented_test_580.pnml,31.68,30.51
T1a_augmented_test_581.pnml,31.55,30.95
T1a_augmented_test_582.pnml,31.80,31.61
T1a_augmented_test_583.pnml,31.81,32.52
T1a_augmented_test_584.pnml,31.81,32.49
T1a_augmented_test_585.pnml,31.68,30.04
T1a_augmented_test_586.pnml,31.81,31.15
T1a_augmented_test_587.pnml,31.68,31.67
T1a_augmented_test_588.pnml,31.93,32.68
T1a_augmented_test_589.pnml,31.81,33.11
T1a_augmented_test_58.pnml,20.31,2.80
T1a_augmented_test_590.pnml,31.80,31.50
T1a_augmented_test_591.pnml,31.94,32.04
T1a_augmented_test_592.pnml,31.94,31.89
T1a_augmented_test_593.pnml,32.06,31.98
T1a_augmented_test_594.pnml,31.93,32.98
T1a_augmented_test_595.pnml,32.06,34.54
T1a_augmented_test_596.pnml,32.06,32.76
T1a_augmented_test_597.pnml,31.94,32.76
T1a_augmented_test_598.pnml,31.93,33.08
T1a_augmented_test_599.pnml,32.18,33.55
T1a_augmented_test_59.pnml,20.31,2.94
