file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
6261.pnml,87.85,56.44,29.03,986.01
6262.pnml,87.88,56.45,29.04,977.51
6263.pnml,87.88,56.49,29.06,987.29
6264.pnml,87.88,56.50,29.06,1212.20
6265.pnml,88.01,56.51,29.07,982.37
6266.pnml,87.89,56.52,29.07,1071.42
6267.pnml,88.02,56.53,29.08,965.43
6268.pnml,88.02,56.54,29.08,993.75
6269.pnml,88.00,56.55,29.09,985.62
626.pnml,23.36,1.35,0.75,31.30
6270.pnml,88.02,56.56,29.09,978.88
6271.pnml,87.91,56.57,29.10,997.73
6272.pnml,87.92,56.58,29.10,1001.97
6273.pnml,88.04,56.59,29.11,997.18
6274.pnml,88.07,56.60,29.12,996.01
6275.pnml,88.04,56.61,29.12,997.85
6276.pnml,88.05,56.63,29.13,994.40
6277.pnml,88.14,56.76,29.20,999.56
6278.pnml,88.18,56.77,29.20,970.15
6279.pnml,88.22,56.79,29.21,1001.47
627.pnml,23.48,1.35,0.75,30.54
6280.pnml,88.18,56.79,29.21,1007.96
6281.pnml,88.31,56.80,29.21,1014.12
6282.pnml,88.25,56.81,29.22,999.68
6283.pnml,88.20,56.82,29.22,981.27
6284.pnml,88.15,56.83,29.23,956.85
6285.pnml,88.17,56.84,29.24,988.21
6286.pnml,88.32,56.85,29.24,960.75
6287.pnml,88.33,56.86,29.25,954.91
6288.pnml,88.34,56.86,29.25,1001.32
6289.pnml,88.34,56.87,29.25,1024.75
628.pnml,23.48,1.35,0.75,31.56
6290.pnml,88.34,56.88,29.26,987.46
6291.pnml,88.30,56.90,29.26,989.50
6292.pnml,88.14,56.90,29.27,1334.56
6293.pnml,88.35,56.91,29.27,975.78
6294.pnml,88.48,56.95,29.29,966.41
6295.pnml,88.36,56.95,29.29,999.74
6296.pnml,88.48,56.96,29.30,963.14
6297.pnml,88.49,56.97,29.30,952.84
6298.pnml,88.50,56.97,29.30,989.55
6299.pnml,88.38,56.98,29.31,952.73
629.pnml,23.48,1.35,0.75,31.99
62.pnml,20.11,0.12,0.06,2.77
6300.pnml,88.37,56.99,29.31,976.84
6301.pnml,88.50,57.00,29.32,991.42
6302.pnml,88.50,57.01,29.33,975.67
6303.pnml,88.51,57.03,29.33,974.16
6304.pnml,88.51,57.04,29.34,982.26
6305.pnml,88.52,57.05,29.34,965.32
6306.pnml,88.52,57.05,29.35,958.89
6307.pnml,88.65,57.06,29.35,945.36
6308.pnml,88.52,57.08,29.36,993.02
6309.pnml,88.65,57.09,29.36,1011.18
630.pnml,23.48,1.35,0.75,34.38
6310.pnml,88.78,57.23,29.43,953.65
6311.pnml,88.78,57.24,29.44,958.71
6312.pnml,88.78,57.25,29.44,994.08
6313.pnml,88.78,57.26,29.45,954.64
6314.pnml,88.80,57.27,29.46,1031.13
6315.pnml,88.79,57.28,29.46,991.18
