file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
350.pnml,21.03,0.40,0.23,17.34
351.pnml,20.64,0.40,0.23,17.39
352.pnml,20.91,0.40,0.23,16.81
353.pnml,20.45,0.40,0.23,24.77
354.pnml,21.23,0.40,0.23,26.38
355.pnml,21.25,0.40,0.23,17.59
356.pnml,21.11,0.41,0.23,26.94
357.pnml,21.23,0.41,0.23,25.40
358.pnml,21.22,0.41,0.23,20.94
359.pnml,21.24,0.41,0.23,20.81
35.pnml,19.32,0.08,0.03,2.21
360.pnml,21.24,0.41,0.23,17.41
361.pnml,20.77,0.41,0.24,17.71
362.pnml,21.19,0.41,0.24,17.53
363.pnml,20.96,0.41,0.24,16.98
364.pnml,20.98,0.41,0.24,17.59
365.pnml,21.06,0.41,0.24,16.96
366.pnml,21.07,0.41,0.24,17.29
367.pnml,21.14,0.42,0.24,17.95
368.pnml,21.12,0.42,0.24,18.46
369.pnml,21.00,0.42,0.24,19.25
36.pnml,19.34,0.08,0.03,2.24
370.pnml,21.33,0.42,0.24,17.82
371.pnml,21.45,0.42,0.24,17.58
372.pnml,21.07,0.42,0.24,18.25
373.pnml,21.14,0.42,0.24,17.28
374.pnml,20.79,0.42,0.24,23.61
375.pnml,21.00,0.42,0.24,24.22
376.pnml,20.90,0.42,0.24,21.45
377.pnml,21.24,0.42,0.25,21.16
378.pnml,21.02,0.43,0.25,20.64
379.pnml,21.27,0.43,0.25,20.55
37.pnml,19.11,0.08,0.03,2.53
380.pnml,21.32,0.43,0.25,22.46
381.pnml,21.19,0.43,0.25,22.44
382.pnml,21.01,0.43,0.25,23.44
383.pnml,21.27,0.43,0.25,17.96
384.pnml,21.33,0.43,0.25,22.79
385.pnml,20.97,0.43,0.25,23.76
386.pnml,21.38,0.43,0.25,24.53
387.pnml,21.32,0.43,0.25,23.71
388.pnml,21.02,0.43,0.25,23.59
389.pnml,20.91,0.44,0.25,19.72
38.pnml,19.38,0.08,0.04,2.30
390.pnml,21.04,0.44,0.25,17.89
391.pnml,21.14,0.44,0.25,19.24
392.pnml,21.28,0.44,0.25,17.89
393.pnml,21.40,0.44,0.26,18.01
394.pnml,21.39,0.44,0.26,18.22
395.pnml,21.50,0.44,0.26,18.27
396.pnml,21.24,0.44,0.26,17.36
397.pnml,21.39,0.44,0.26,17.72
398.pnml,21.10,0.44,0.26,18.41
399.pnml,21.35,0.45,0.26,17.86
39.pnml,19.28,0.08,0.04,2.32
3.pnml,19.10,0.05,0.01,0.87
400.pnml,21.29,0.45,0.26,18.31
401.pnml,21.30,0.45,0.26,18.64
402.pnml,21.40,0.45,0.26,17.58
403.pnml,21.33,0.45,0.26,18.78
404.pnml,21.46,0.45,0.26,18.22
405.pnml,21.39,0.45,0.26,18.72
406.pnml,21.20,0.45,0.26,19.84
407.pnml,21.24,0.45,0.26,18.50
408.pnml,21.10,0.45,0.26,18.47
409.pnml,20.93,0.45,0.27,18.94
40.pnml,19.34,0.08,0.04,2.31
