file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
411.pnml,21.71,0.42,0.26,24.61
412.pnml,21.91,0.42,0.27,21.28
413.pnml,21.61,0.42,0.27,23.58
414.pnml,21.70,0.43,0.27,21.20
415.pnml,21.73,0.43,0.27,21.24
416.pnml,21.86,0.43,0.27,23.07
417.pnml,21.71,0.43,0.27,21.95
418.pnml,21.93,0.43,0.27,21.74
419.pnml,21.67,0.43,0.27,23.43
41.pnml,19.57,0.08,0.04,2.85
420.pnml,22.08,0.43,0.27,21.81
421.pnml,22.01,0.43,0.27,21.68
422.pnml,21.94,0.43,0.27,21.24
423.pnml,22.09,0.43,0.27,21.47
424.pnml,21.95,0.43,0.27,22.40
425.pnml,21.82,0.43,0.27,21.40
426.pnml,21.98,0.44,0.27,21.75
427.pnml,21.89,0.44,0.27,24.30
428.pnml,21.89,0.44,0.28,22.54
429.pnml,22.00,0.44,0.28,25.63
42.pnml,19.60,0.08,0.04,3.07
430.pnml,22.00,0.44,0.28,21.94
431.pnml,21.78,0.44,0.28,22.96
432.pnml,21.96,0.44,0.28,21.65
433.pnml,22.04,0.44,0.28,24.69
434.pnml,21.96,0.44,0.28,22.77
435.pnml,21.93,0.44,0.28,23.41
436.pnml,22.18,0.44,0.28,22.49
437.pnml,22.12,0.44,0.28,21.96
438.pnml,22.11,0.45,0.28,22.28
439.pnml,21.94,0.45,0.28,22.41
43.pnml,19.91,0.08,0.04,2.89
440.pnml,21.94,0.45,0.28,22.63
441.pnml,21.83,0.45,0.28,24.63
442.pnml,22.08,0.45,0.28,24.86
443.pnml,22.09,0.52,0.28,23.77
444.pnml,21.86,0.52,0.28,22.79
445.pnml,22.16,0.52,0.29,24.05
446.pnml,21.87,0.52,0.29,23.07
447.pnml,21.75,0.52,0.29,23.62
448.pnml,22.12,0.52,0.29,23.06
449.pnml,21.94,0.53,0.29,33.40
44.pnml,19.98,0.08,0.04,3.11
450.pnml,22.22,0.53,0.29,22.77
451.pnml,22.06,0.53,0.29,22.78
452.pnml,22.17,0.53,0.29,22.98
453.pnml,21.96,0.53,0.29,22.98
454.pnml,22.25,0.53,0.29,24.01
455.pnml,21.97,0.53,0.29,23.33
456.pnml,22.00,0.53,0.29,23.99
457.pnml,21.89,0.53,0.29,30.42
458.pnml,22.05,0.53,0.29,24.36
459.pnml,22.05,0.53,0.29,27.26
45.pnml,19.48,0.08,0.04,2.94
460.pnml,22.09,0.53,0.29,24.18
461.pnml,21.94,0.54,0.30,23.47
462.pnml,21.90,0.54,0.30,23.62
463.pnml,21.95,0.54,0.30,23.54
464.pnml,22.23,0.54,0.30,26.59
465.pnml,22.02,0.54,0.30,25.36
466.pnml,22.21,0.54,0.30,25.12
467.pnml,22.17,0.54,0.30,24.80
468.pnml,22.22,0.54,0.30,24.70
469.pnml,21.91,0.54,0.30,25.21
46.pnml,19.71,0.09,0.04,3.14
470.pnml,22.21,0.54,0.30,23.58
471.pnml,22.15,0.54,0.30,25.73
472.pnml,22.25,0.54,0.30,25.22
473.pnml,22.39,0.55,0.30,25.22
474.pnml,22.04,0.55,0.30,26.53
475.pnml,22.12,0.55,0.30,24.98
476.pnml,22.10,0.55,0.30,24.59
477.pnml,22.05,0.55,0.30,24.03
478.pnml,22.23,0.55,0.31,24.58
479.pnml,22.22,0.55,0.31,24.01
47.pnml,19.70,0.09,0.04,3.09
480.pnml,22.23,0.55,0.31,24.08
481.pnml,21.96,0.55,0.31,28.48
482.pnml,22.14,0.55,0.31,24.59
483.pnml,22.25,0.55,0.31,26.71
484.pnml,21.98,0.55,0.31,26.39
485.pnml,22.36,0.56,0.31,25.78
486.pnml,22.15,0.56,0.31,25.97
487.pnml,22.34,0.56,0.31,27.75
488.pnml,22.34,0.56,0.31,26.65
489.pnml,22.27,0.56,0.31,26.39
48.pnml,19.66,0.09,0.04,3.08
490.pnml,22.24,0.56,0.31,25.00
491.pnml,21.96,0.56,0.31,24.87
492.pnml,22.23,0.56,0.31,26.40
493.pnml,22.32,0.56,0.32,26.02
494.pnml,22.31,0.56,0.32,28.66
495.pnml,22.39,0.56,0.32,28.84
496.pnml,22.45,0.56,0.32,30.95
497.pnml,22.20,0.56,0.32,26.43
498.pnml,22.35,0.57,0.32,26.24
499.pnml,22.23,0.57,0.32,25.90
49.pnml,19.85,0.09,0.04,3.78
4.pnml,19.53,0.05,0.01,2.72
500.pnml,22.45,0.57,0.32,25.80
501.pnml,22.33,0.57,0.32,29.93
502.pnml,22.37,0.57,0.32,26.33
503.pnml,22.28,0.57,0.32,29.82
504.pnml,22.54,0.57,0.32,25.86
505.pnml,22.49,0.57,0.32,26.09
506.pnml,22.08,0.57,0.32,28.08
507.pnml,22.38,0.57,0.32,26.62
508.pnml,22.41,0.57,0.32,27.85
509.pnml,22.02,0.57,0.32,27.18
50.pnml,19.78,0.09,0.04,3.18
510.pnml,22.37,0.58,0.33,25.91
511.pnml,22.30,0.58,0.33,26.37
512.pnml,22.04,0.58,0.33,29.05
513.pnml,22.20,0.58,0.33,27.06
514.pnml,22.50,0.58,0.33,26.18
515.pnml,22.60,0.58,0.33,29.46
516.pnml,22.10,0.58,0.33,27.70
517.pnml,22.50,0.58,0.33,27.39
518.pnml,22.54,0.58,0.33,27.70
519.pnml,22.19,0.58,0.33,26.96
51.pnml,19.56,0.09,0.04,3.41
520.pnml,22.30,0.58,0.33,26.93
521.pnml,22.28,0.59,0.33,29.16
522.pnml,22.31,0.59,0.33,28.75
523.pnml,22.50,0.59,0.33,30.08
524.pnml,22.48,0.59,0.33,26.89
525.pnml,22.15,0.59,0.34,27.09
526.pnml,22.36,0.59,0.34,28.05
527.pnml,22.27,0.59,0.34,30.48
528.pnml,22.41,0.59,0.34,28.82
529.pnml,22.52,0.59,0.34,27.48
52.pnml,20.00,0.09,0.04,3.63
530.pnml,22.22,0.59,0.34,27.81
531.pnml,22.20,0.59,0.34,27.23
532.pnml,22.35,0.59,0.34,27.94
533.pnml,22.21,0.59,0.34,29.18
534.pnml,22.43,0.60,0.34,27.44
535.pnml,22.48,0.60,0.34,27.35
536.pnml,22.57,0.60,0.34,28.83
537.pnml,22.53,0.60,0.34,30.57
538.pnml,22.45,0.60,0.34,27.71
539.pnml,22.27,0.60,0.34,29.68
53.pnml,19.65,0.09,0.04,3.50
540.pnml,22.27,0.60,0.34,31.69
541.pnml,22.52,0.60,0.34,29.30
542.pnml,22.56,0.60,0.35,28.05
543.pnml,22.70,0.60,0.35,28.78
544.pnml,22.52,0.60,0.35,29.38
545.pnml,22.61,0.60,0.35,31.16
546.pnml,22.45,0.61,0.35,30.59
