file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
616.pnml,56.27,8.48,4.49,301.84
617.pnml,56.06,8.50,4.49,305.77
618.pnml,56.19,8.51,4.50,316.87
619.pnml,56.49,8.52,4.51,301.96
61.pnml,23.58,0.89,0.46,31.81
620.pnml,56.54,8.53,4.51,304.89
621.pnml,56.71,8.55,4.52,305.52
622.pnml,56.25,8.56,4.53,313.92
623.pnml,56.74,8.57,4.53,310.02
624.pnml,56.61,8.58,4.54,311.22
625.pnml,56.75,8.60,4.55,304.85
626.pnml,56.04,8.61,4.56,314.37
627.pnml,56.49,8.62,4.56,320.64
628.pnml,56.82,8.64,4.57,322.73
629.pnml,56.58,8.65,4.58,321.90
62.pnml,23.60,0.90,0.47,31.96
630.pnml,56.91,8.66,4.58,311.08
631.pnml,56.75,8.67,4.59,321.53
632.pnml,56.93,8.69,4.60,318.15
633.pnml,57.13,8.70,4.60,312.84
634.pnml,57.25,8.71,4.61,323.34
635.pnml,57.18,8.72,4.62,318.06
636.pnml,57.21,8.74,4.63,309.48
637.pnml,57.18,8.75,4.63,308.56
638.pnml,57.26,8.76,4.64,317.78
639.pnml,57.56,8.78,4.65,319.19
63.pnml,23.45,0.91,0.47,32.49
640.pnml,57.46,8.79,4.65,321.38
641.pnml,57.51,8.80,4.66,326.85
642.pnml,57.39,8.81,4.67,322.10
643.pnml,57.57,8.83,4.68,325.46
644.pnml,57.51,8.84,4.68,315.43
645.pnml,57.66,8.85,4.69,328.58
646.pnml,57.22,8.86,4.70,316.86
647.pnml,57.45,8.88,4.70,326.15
648.pnml,57.57,8.89,4.71,331.98
649.pnml,57.78,8.90,4.72,325.84
64.pnml,23.68,0.93,0.48,32.39
650.pnml,57.96,8.91,4.72,327.56
651.pnml,57.85,8.93,4.73,323.31
652.pnml,57.87,8.94,4.74,324.55
653.pnml,58.19,8.95,4.75,320.38
654.pnml,58.14,8.97,4.75,327.82
655.pnml,58.37,8.98,4.76,324.97
656.pnml,57.93,8.99,4.77,325.11
657.pnml,58.17,9.00,4.77,326.09
658.pnml,58.00,9.02,4.78,341.32
659.pnml,58.24,9.03,4.79,330.85
65.pnml,23.73,0.94,0.49,33.65
660.pnml,58.42,9.04,4.80,334.54
661.pnml,58.50,9.05,4.80,328.69
662.pnml,58.15,9.07,4.81,334.75
663.pnml,58.48,9.09,4.82,356.76
664.pnml,58.66,9.11,4.84,341.13
665.pnml,59.02,9.12,4.84,341.68
